emoji,article,views,rank,year,month,day,date
⚖️,Killing_of_Ahmaud_Arbery,375207,3,2021,11,24,2021-11-24
⚽,Ralf_Rangnick,959235,3,2021,11,25,2021-11-25
⚽,Ralf_Rangnick,464786,3,2021,11,26,2021-11-26
☠️,Stephen_Sondheim,713415,3,2021,11,27,2021-11-27
☠️,Virgil_Abloh,685581,3,2021,11,28,2021-11-28
☠️,Virgil_Abloh,643694,3,2021,11,29,2021-11-29
🔪,Pedro_Rodrigues_Filho,332816,3,2021,12,1,2021-12-01
🎨,Georges_Seurat,263190,3,2021,12,2,2021-12-02
📺,Cleopatra,153267,3,2021,12,3,2021-12-03
🏏,Ajaz_Patel,337272,3,2021,12,4,2021-12-04
☠️,Bob_Dole,337184,3,2021,12,5,2021-12-05
☠️,Bob_Dole,337620,3,2021,12,6,2021-12-06
💑,Vicky_Kaushal,214435,3,2021,12,7,2021-12-07
☠️,Bipin_Rawat,1913753,2,2021,12,8,2021-12-08
☠️,Bipin_Rawat,804072,3,2021,12,9,2021-12-09
☠️,Demaryius_Thomas,839109,3,2021,12,10,2021-12-10
☠️,Michael_Nesmith,286356,3,2021,12,11,2021-12-11
🤼,UFC_269,482365,3,2021,12,12,2021-12-12
🏆,Harnaaz_Sandhu,685548,3,2021,12,13,2021-12-13
